Bird,d15NPl,d13CPl,julianday
160,9.99,-21.48,49.42
162,11.65,-17.81,49.42
163,11.02,-19.77,49.42
164,10.67,-22.56,49.42
165,8.15,-14.72,321.17
166,11.12,-12.21,321.17
167,10.95,-12.35,321.17
168,11.2,-13.88,322.17
169,10.76,-14.43,322.17
170,11.32,-14.65,322.17
171,10.85,-13.9,322.17
172,11.74,-14.12,322.17
173,10.46,-10.88,323.17
174,10.93,-10.44,323.17
175,12.3,-15.33,349.58
176,10.67,-13.78,349.58
177,11.51,-13.98,349.58
178,10.56,-15.22,349.58
179,12.51,-15.25,349.58
180,13.51,-15.76,349.58
181,11.98,-15.78,349.58
182,12.2,-15.49,349.58
183,10.48,-13.02,349.58
184,12.4,-15.3,349.58
185,13,-15.55,349.58
186,11.36,-14.35,349.58
187,12.08,-14.99,349.58
188,12.39,-14.83,349.58
189,12.28,-16.18,349.58
190,12.6,-15.01,349.58
191,11.3,-12.87,349.58
192,11.1,-14.67,349.58
193,11.42,-13.84,349.58
194,11.49,-14.89,349.58
195,12,-13.33,349.58
196,13.35,-15.04,349.58
197,11.97,-14.29,349.58
198,13.35,-15.62,349.58
199,12.75,-13.99,349.58
200,12.55,-15.06,349.58
201,12.3,-15.06,349.58
202,12.51,-15,349.58
203,12.61,-14.55,349.58
204,10.98,-13.32,349.58
205,11.82,-14.34,349.58
206,12.27,-14.47,349.58
207,12.11,-14.31,349.58
208,12.11,-14.18,349.58
209,12.89,-16.18,349.58
211,12.29,-15.92,350.58
212,11.89,-15.35,350.58
213,12.74,-14.29,350.58
214,12.29,-15.92,350.58
215,11.89,-15.35,350.58
218,10.56,-20.22,28
222,10.54,-19.97,28
225,10.97,-20.78,28
230,10.46,-20.61,28
249,10.56,-20.58,28
255,10.86,-20.19,28
260,10.9,-20.71,28
270,11.06,-20.59,28
271,10.76,-20.09,28
275,10.64,-19.37,28
283,10.94,-20.41,28
289,10.85,-20.84,28
295,10.45,-20.75,28
300,11.15,-20.29,28
303,11.23,-20.89,28
304,11.16,-19.69,28
305,10.94,-20.41,28
306,11.2,-21.24,28
307,10.71,-19.33,28
308,9.55,-25.87,48.42
309,8.6,-25.4,48.42
310,9.67,-27.23,48.42
311,8.17,-27.52,48.42
312,9.81,-24.55,48.42
313,10.94,-17.36,48.42
314,9.49,-24.7,48.42
315,9.46,-27.76,48.42
316,7.94,-28.92,48.42
317,9.77,-25.98,48.42
318,8.07,-26.77,48.42
319,8.39,-28.76,48.42
320,8.95,-27.7,48.42
321,9.83,-24.75,48.42
322,8.51,-25.47,48.42
323,8.86,-26.58,48.42
324,7.93,-28.94,48.42
325,8,-29.13,48.42
326,8.33,-26.65,48.42
327,8,-28.04,48.42
328,9.39,-27.5,48.42
329,8.01,-29.28,48.42
330,7.59,-27.85,48.42
331,8.26,-27.41,48.42
332,9.49,-27.57,48.42
333,8.23,-29.06,48.42
334,9.1,-25.98,48.42
335,8.21,-28.21,48.42
336,9.59,-25.27,48.42
337,9.37,-14.43,48.42
338,9.47,-27.4,48.42
339,8.6,-27.76,48.42
340,8.23,-28.45,99.25
346,8.39,-27.35,99.25
342,8.24,-28.83,99.25
347,8.34,-29.39,99.25
341,8.36,-28.86,99.25
344,7.22,-28.61,99.25
343,7.13,-29.27,99.25
345,10.64,-20.32,99.25
351,8.06,-28.21,99.25
348,8.22,-26.3,99.25
349,8.92,-28.27,99.25
350,9.35,-27.75,99.25
352,7.32,-28.55,99.25
353,7.66,-27.38,99.25
354,8.09,-29.13,99.25
355,7.3,-28.66,99.25
357,7.33,-29.02,99.25
356,7.33,-26.04,99.25
362,7.36,-26.06,99.25
358,7.49,-28.52,99.25
360,8.07,-28.51,99.25
359,8.84,-27.93,99.25
361,7.93,-29.07,99.25
363,7.94,-28.41,99.25
373,8.74,-26.42,100.25
372,8.26,-27.71,100.25
369,9.63,-27.75,100.25
368,8.85,-24.28,100.25
367,7.55,-28.43,100.25
370,10.05,-25.94,100.25
371,8.23,-28,100.25
365,7.74,-28.59,100.25
366,9.12,-22.61,100.25
374,7.33,-27.34,101.25
376,7.54,-27.35,101.25
375,8.8,-29.14,101.25
